Stock,Exchange,Sector,
China ITS (Holdings) Co. Ltd. (1900),XHKG,Railroads,
China Jicheng Holdings Ltd. (1027),XHKG,Housewares,
China Jinmao Holdings Group Ltd. (817),XHKG,Real Estate Developers,
China Kangda Food Co. Ltd. (834),XHKG,Food Products,
China Kepei Education Group Ltd. (1890),XHKG,Employment/Training Services,
China Kingstone Mining Holdings Ltd. (1380),XHKG,General Mining,
China Leon Inspection Holding Ltd. (1586),XHKG,Mining Support Services,
China Lesso Group Holdings Ltd. (2128),XHKG,Building Materials/Products,
China Life Insurance Co. Ltd. (2628),XHKG,Life Insurance,
China Lilang Ltd. (1234),XHKG,Clothing,
China Literature Ltd. (772),XHKG,Publishing,
China LNG Group Ltd. (931),XHKG,Wholesalers,
China Logistics Property Holdings Co. Ltd. (1589),XHKG,Transportation Services,
China Longyuan Power Group Corp. Ltd. (916),XHKG,Renewable Energy Generation,
China Ludao Technology Co. Ltd. (2023),XHKG,Containers/Packaging,
China Maple Leaf Educational Systems Ltd. (1317),XHKG,Consumer Services,
China Medical & HealthCare Group Ltd. (383),XHKG,Healthcare Provision,
China Medical System Holdings Ltd. (867),XHKG,Pharmaceuticals,
China MeiDong Auto Holdings Ltd. (1268),XHKG,Specialty Retail,
China Mengniu Dairy Co. Ltd. (2319),XHKG,Food Products,
China Merchants Bank Co. Ltd. (3968),XHKG,Banking,
China Merchants China Direct Investments Ltd. (133),XHKG,Closed-End Funds,
China Merchants Commercial Real Estate Investment Trust (1503),XHKG,Industrial/Office REITs,
China Merchants Land Ltd. (978),XHKG,Real Estate Developers,
China Merchants Port Holdings Co. Ltd. (144),XHKG,Water Transport/Shipping,
China Merchants Securities Co. Ltd. (6099),XHKG,Securities,
China Metal Resources Utilization Ltd. (1636),XHKG,Non-Ferrous Metals,
China Minsheng Banking Corp. Ltd. (1988),XHKG,Banking,
China Mobile Ltd. (941),XHKG,Wireless Telecommunications Services,
China Modern Dairy Holdings Ltd. (1117),XHKG,Food Products,
China Molybdenum Co. Ltd. (3993),XHKG,Non-Ferrous Metals,
China Motor Bus Co. Ltd. (26),XHKG,Real Estate Developers,
China National Building Material Co. Ltd. (3323),XHKG,Building Materials/Products,
China National Culture Group Ltd. A (745),XHKG,Advertising/Marketing/Public Relations,
China Nature Energy Technology Holdings Ltd. (1597),XHKG,Industrial Electronics,
China Netcom Technology Holdings Ltd. (8071),XHKG,Computer Services,
China New City Commercial Development Ltd. (1321),XHKG,Real Estate Developers,
China New Economy Fund Ltd. (80),XHKG,Mutual & Other Funds,
China New Higher Education Group Ltd. (2001),XHKG,Consumer Services,
China New Town Development Co. Ltd. (1278),XHKG,Real Estate Developers,
China Nonferrous Mining Corp. Ltd. (1258),XHKG,Non-Ferrous Metals,
China NT Pharma Group Co. Ltd. (1011),XHKG,Drug Retail,
China Nuclear Energy Technology Corp. Ltd. (611),XHKG,Construction,
China Ocean Group Development Ltd. (8047),XHKG,Transportation Services,
China Oceanwide Holdings Ltd. (715),XHKG,Real Estate Developers,
China Oil & Gas Group Ltd. (603),XHKG,Pipeline Transportation,
China Oilfield Services Ltd. (2883),XHKG,Oil & Gas Products/Services,
China Oriental Group Co. Ltd. (581),XHKG,Iron/Steel,
China Oriented International Holdings Ltd. (1871),XHKG,Consumer Services,
China Outfitters Holdings Ltd. (1146),XHKG,Clothing,
China Overseas Grand Oceans Group Ltd. (81),XHKG,Real Estate Developers,
China Overseas Land & Investment Ltd. (688),XHKG,Real Estate Developers,
China Overseas Nuoxin International Holdings Ltd. (464),XHKG,Personal Care Products/Appliances,
China Overseas Property Holdings Ltd. (2669),XHKG,Real Estate Developers,
China Pacific Insurance (Group) Co. Ltd. (2601),XHKG,Life Insurance,
China Parenting Network Holdings Ltd. (1736),XHKG,Advertising/Marketing/Public Relations,
China Partytime Culture Holdings Ltd. (1532),XHKG,Clothing,
China PengFei Group Ltd. (3348),XHKG,Industrial Machinery,
China Petroleum & Chemical Corp. (386),XHKG,Major Oil & Gas,
China Pioneer Pharma Holdings Ltd. (1345),XHKG,Drug Retail,
China Pipe Group Ltd. (380),XHKG,Building Materials/Products,
China Power International Development Ltd. (2380),XHKG,Electric Utilities,
China Properties Investment Holdings Ltd. (736),XHKG,Consumer Finance,
China Public Procurement Ltd. (1094),XHKG,Wholesalers,
China Putian Food Holding Ltd. (1699),XHKG,Food Products,
China Qinfa Group Ltd. (866),XHKG,Coal,
China Railway Construction Corp. Ltd. (1186),XHKG,Construction,
China Railway Group Ltd. (390),XHKG,Construction,
China Railway Signal & Communication Corp. Ltd. (3969),XHKG,Industrial Electronics,
China Rare Earth Holdings Ltd. (769),XHKG,Non-Ferrous Metals,
China Regenerative Medicine International Ltd. (8158),XHKG,Biotechnology,
China Reinsurance (Group) Corp. (1508),XHKG,Reinsurance,
China Renaissance Holdings Ltd. (1911),XHKG,Investment Advisors,
China Renewable Energy Investment Ltd. (987),XHKG,Renewable Energy Generation,
China Resources & Transportation Group Ltd. (269),XHKG,Forestry & Wood Products,
China Resources Beer (Holdings) Co. Ltd. (291),XHKG,Alcoholic Beverages/Drinks,
China Resources Cement Holdings Ltd. (1313),XHKG,Building Materials/Products,
China Resources Gas Group Ltd. (1193),XHKG,Gas Utilities,
China Resources Land Ltd. (1109),XHKG,Real Estate Developers,
China Resources Medical Holdings Co. Ltd. (1515),XHKG,Healthcare Provision,
China Resources Mixc Lifestyle Services Ltd. (1209),XHKG,Real Estate Developers,
China Resources Pharmaceutical Group Ltd. (3320),XHKG,Pharmaceuticals,
China Resources Power Holdings Co. Ltd. (836),XHKG,Renewable Energy Generation,
China Risun Group Ltd. (1907),XHKG,Chemicals,
China Ruifeng Renewable Energy Holdings Ltd. (527),XHKG,Renewable Energy Generation,
China Saftower International Holding Group Ltd. (8623),XHKG,Industrial Electronics,
China Sandi Holdings Ltd. (910),XHKG,Real Estate Developers,
China Sanjiang Fine Chemicals Co. Ltd. (2198),XHKG,Chemicals,
China SCE Group Holdings Ltd. (1966),XHKG,Real Estate Developers,
China Shandong Hi-Speed Financial Group Ltd. (412),XHKG,Computer Services,
China Shanshui Cement Group Ltd. (691),XHKG,Building Materials/Products,
China Shenghai Group Ltd. (1676),XHKG,Food Products,
China Shengmu Organic Milk Ltd. (1432),XHKG,Food Products,
China Shenhua Energy Co. Ltd. (1088),XHKG,Coal,
China Shineway Pharmaceutical Group Ltd. (2877),XHKG,Pharmaceuticals,
China Shuifa Singyes Energy Holdings Ltd. (750),XHKG,Industrial Electronics,
China Silver Group Ltd. (815),XHKG,Precious Metals,
China Silver Technology Holdings Ltd. (515),XHKG,Semiconductors,
China Singyes New Materials Holdings Ltd. (8073),XHKG,Chemicals,
China Sinostar Group Co. Ltd. (485),XHKG,Audio/Video Equipment,
China Smartpay Group Holdings Ltd. (8325),XHKG,Consumer Finance,
China South City Holdings Ltd. (1668),XHKG,Real Estate Developers,
China Southern Airlines Co. Ltd. (1055),XHKG,Passenger Airlines,
China Star Entertainment Ltd. (326),XHKG,Motion Picture/Sound Recording,
China Starch Holdings Ltd. (3838),XHKG,Food Products,
China State Construction Development Holdings Ltd. (830),XHKG,Building Materials/Products,
China State Construction International Holdings Ltd. (3311),XHKG,Construction,
China Strategic Holdings Ltd. (235),XHKG,Securities,
China Success Finance Group Holdings Ltd. (3623),XHKG,Finance Companies,
China Sunshine Paper Holdings Co. Ltd. (2002),XHKG,Containers/Packaging,
China Suntien Green Energy Corp. Ltd. (956),XHKG,Renewable Energy Generation,
China Taiping Insurance Holdings Co. Ltd. (966),XHKG,Life Insurance,
China Technology Industry Group Ltd. (8111),XHKG,Industrial Electronics,
China Telecom Corp. Ltd. (728),XHKG,Wired Telecommunications Services,
China Tian Yuan Healthcare Group Ltd. (557),XHKG,Hotels,
China Tianbao Group Development Co. Ltd. (1427),XHKG,Real Estate Developers,
China Tianrui Automotive Interiors Co. Ltd. (6162),XHKG,Motor Vehicle Parts,
China Tianrui Group Cement Co. Ltd. (1252),XHKG,Building Materials/Products,
China Ting Group Holdings Ltd. (3398),XHKG,Clothing,
China Titans Energy Technology Group Co. Ltd. (2188),XHKG,Industrial Electronics,
China Tobacco International (HK) Co. Ltd. (6055),XHKG,Tobacco,
China Tonghai International Financial Ltd. (952),XHKG,Investment Advisors,
China Tontine Wines Group Ltd. (389),XHKG,Alcoholic Beverages/Drinks,
China Tower Corp. Ltd. (788),XHKG,Construction,
China Traditional Chinese Medicine Holdings Co. Ltd. (570),XHKG,Pharmaceuticals,
China Travel International Investment Hong Kong Ltd. (308),XHKG,Tourism,
China Unicom (Hong Kong) Ltd. (762),XHKG,Wireless Telecommunications Services,
China Uptown Group Co. Ltd. (2330),XHKG,Real Estate Developers,
China Vanadium Titano-Magnetite Mining Co. Ltd. (893),XHKG,Iron/Steel,
China Vanke Co. Ltd. (2202),XHKG,Real Estate Developers,
China VAST Industrial Urban Development Co. Ltd. (6166),XHKG,Real Estate Developers,
China Vered Financial Holding Corp. Ltd. (245),XHKG,Diversified Holding Companies,
China Wan Tong Yuan Holdings Ltd. (6966),XHKG,Consumer Services,
China Water Affairs Group Ltd. (855),XHKG,Water Utilities,
China Water Industry Group Ltd. (1129),XHKG,Water Utilities,
China Weaving Materials Holdings Ltd. (3778),XHKG,Clothing,
China Xinhua Education Group Ltd. (2779),XHKG,Employment/Training Services,
China XLX Fertiliser Ltd. (1866),XHKG,Chemicals,
China Yongda Automobiles Services Holdings Ltd. (3669),XHKG,Specialty Retail,
China Youran Dairy Group Ltd. (9858),XHKG,Farming,
China Youzan Ltd. (8083),XHKG,Computers/Consumer Electronics,
China Yuhua Education Corp. Ltd. (6169),XHKG,Consumer Services,
China Yurun Food Group Ltd. (1068),XHKG,Food Products,
China ZhengTong Auto Services Holdings Ltd. (1728),XHKG,Specialty Retail,
China Zheshang Bank Co. Ltd. (2016),XHKG,Banking,
China-HongKong Photo Products Holdings Ltd. (1123),XHKG,General Services,
Chinasoft International Ltd. (354),XHKG,Computer Services,
Chinese Energy Holdings Ltd. (8009),XHKG,Wholesalers,
Chinese Estates (Holdings) Ltd. (127),XHKG,Real Estate Developers,
Chinese People Holdings Co. Ltd. (681),XHKG,Pipeline Transportation,
Ching Lee Holdings Ltd. (3728),XHKG,Construction,
Chinlink International Holdings Ltd. (997),XHKG,Furniture,
Chinney Alliance Group Ltd. (385),XHKG,Construction,
Chinney Kin Wing Holdings Ltd. (1556),XHKG,Construction,
CHK Oil Ltd. (632),XHKG,Wholesalers,
Chong Fai Jewellery Group Holdings Co. Ltd. (8537),XHKG,Clothing Retail,
Chong Kin Group Holdings Ltd. (1609),XHKG,Construction,
Chongqing Iron & Steel Co. Ltd. (1053),XHKG,Iron/Steel,
Chongqing Machinery & Electric Co. Ltd. (2722),XHKG,Industrial Electronics,
Chongqing Rural Commercial Bank Co. Ltd. (3618),XHKG,Banking,
Chow Sang Sang Holdings International Ltd. (116),XHKG,Clothing Retail,
Chow Tai Fook Jewellery Group Ltd. (1929),XHKG,Clothing Retail,
CHTC Fong's International Co. Ltd. (641),XHKG,Industrial Machinery,
Chu Kong Petroleum & Natural Gas Steel Pipe Holdings Ltd. (1938),XHKG,Iron/Steel,
Chu Kong Shipping Enterprises (Group) Co. Ltd. (560),XHKG,Water Transport/Shipping,
Chuan Holdings Ltd. (1420),XHKG,Construction,
Chuang's China Investments Ltd. (298),XHKG,Real Estate Developers,
Chuang's Consortium International Ltd. (367),XHKG,Real Estate Developers,
CIFI Ever Sunshine Services Group Ltd. (1995),XHKG,Real Estate Developers,
CIFI Holdings (Group) Co. Ltd. (884),XHKG,Real Estate Developers,
CIMC Enric Holdings Ltd. (3899),XHKG,Oil & Gas Products/Services,
CIMC Vehicles Group Co. Ltd. (1839),XHKG,Commercial Vehicles,
Cinda International Holdings Ltd. (111),XHKG,Investment Advisors,
Cinese International Group Holdings Ltd. (1620),XHKG,Tourism,
CircuTech International Holdings Ltd. (8051),XHKG,Precision Products,
Cirtek Holdings Ltd. (1433),XHKG,Clothing,
CITIC Ltd. (267),XHKG,Diversified Holding Companies,
CITIC Resources Holdings Ltd. (1205),XHKG,General Mining,
CITIC Securities Co. Ltd. (6030),XHKG,Securities,
CITIC Telecom International Holdings Ltd. (1883),XHKG,Wired Telecommunications Services,
Citychamp Watch & Jewellery Group Ltd. (256),XHKG,Jewelry & Watches,
CK Asset Holdings Ltd. (1113),XHKG,Real Estate Developers,
CK Hutchison Holdings Ltd. (1),XHKG,Diversified Holding Companies,
CK Infrastructure Holdings Ltd. (1038),XHKG,Diversified Holding Companies,
CK Life Sciences International (Holdings) Inc. (775),XHKG,Biotechnology,
CL Group (Holdings) Ltd. (8098),XHKG,Securities,
Classified Group Holdings Ltd. (8232),XHKG,Restaurants,
Clifford Modern Living Holdings Ltd. (3686),XHKG,Real Estate Developers,
C-Link Squared Ltd. (1463),XHKG,Software,
Cloud Village Inc. (9899),XHKG,Broadcasting,
Clover Biopharmaceuticals Ltd. (2197),XHKG,Biotechnology,
CLP Holdings Ltd. (2),XHKG,Electric Utilities,
CLSA Premium Ltd. (6877),XHKG,Securities,
CMBC Capital Holdings Ltd. (1141),XHKG,Finance Companies,
CMGE Technology Group Ltd. (302),XHKG,Toys & Games,
CMIC Ocean En-Tech Holding Co. Ltd. (206),XHKG,Oil & Gas Products/Services,
CMMB Vision Holdings Ltd. (471),XHKG,Broadcasting,
Cmon Ltd. (1792),XHKG,Toys & Games,
CN Logistics International Holdings Ltd. (2130),XHKG,Transportation Services,
CNC Holdings Ltd. (8356),XHKG,Construction,
CNOOC Ltd. (883),XHKG,Oil Extraction,
CNQC International Holdings Ltd. (1240),XHKG,Construction,
CNT Group Ltd. (701),XHKG,Building Materials/Products,
Coastal Greenland Ltd. (1124),XHKG,Real Estate Developers,
Cocoon Holdings Ltd. (428),XHKG,Finance Companies,
COFCO Joycome Foods Ltd. (1610),XHKG,Farming,
Cogobuy Group (400),XHKG,Semiconductors,
Colour Life Services Group Co. Ltd. (1778),XHKG,Real Estate Developers,
Comba Telecom Systems Holdings Ltd. (2342),XHKG,Networking,
Come Sure Group (Holdings) Ltd. (794),XHKG,Paper/Pulp,
Computer & Technologies Holdings Ltd. (46),XHKG,Software,
Computime Group Ltd. (320),XHKG,Precision Products,
Comtec Solar Systems Group Ltd. (712),XHKG,Industrial Electronics,
Concord New Energy Group Ltd. (182),XHKG,Construction,
Confidence Intelligence Holdings Ltd. (1967),XHKG,Semiconductors,
Consun Pharmaceutical Group Ltd. (1681),XHKG,Pharmaceuticals,
Contel Technology Co. Ltd. (1912),XHKG,Semiconductors,
Continental Aerospace Technologies Holding Ltd. (232),XHKG,Aerospace Products/Parts,
Continental Holdings Ltd. (513),XHKG,Jewelry & Watches,
Convenience Retail Asia Ltd. (831),XHKG,Food Retail,
Cool Link (Holdings) Ltd. (8491),XHKG,Food Retail,
Coolpad Group Ltd. (2369),XHKG,Networking,
Cornerstone Financial Holdings Ltd. (8112),XHKG,Advertising/Marketing/Public Relations,
Cornerstone Technologies Holdings Ltd. (8391),XHKG,Printing,
COSCO SHIPPING Development Co. Ltd. (2866),XHKG,Water Transport/Shipping,
COSCO SHIPPING Energy Transportation Co. Ltd. (1138),XHKG,Water Transport/Shipping,
COSCO SHIPPING Holdings Co. Ltd. (1919),XHKG,Water Transport/Shipping,
COSCO SHIPPING International (Hong Kong) Co. Ltd. (517),XHKG,Water Transport/Shipping,
COSCO SHIPPING Ports Ltd. (1199),XHKG,Water Transport/Shipping,
Cosmo Lady (China) Holdings Co. Ltd. (2298),XHKG,Clothing,
Cosmopolitan International Holdings Ltd. (120),XHKG,Real Estate Developers,
Country Garden Holdings Co. Ltd. (2007),XHKG,Real Estate Developers,
Country Garden Services Holdings Co. Ltd. (6098),XHKG,Real Estate Developers,
Courage Investment Group Ltd. (1145),XHKG,Water Transport/Shipping,
Cowell e Holdings Inc. (1415),XHKG,Leisure Goods,
CPMC Holdings Ltd. (906),XHKG,Containers/Packaging,
CR Construction Group Holdings Ltd. (1582),XHKG,Construction,
Crazy Sports Group Ltd. (82),XHKG,Internet/Online,
CRCC High-Tech Equipment Corp. Ltd. (1786),XHKG,Railroads,
Creative China Holdings Ltd. (8368),XHKG,Recreational Services,
Crocodile Garments Ltd. (122),XHKG,Clothing,
Cross-Harbour (Holdings) Ltd. (32),XHKG,Consumer Services,
CROSSTEC Group Holdings Ltd. (3893),XHKG,General Services,
Crown International Corp. Ltd. (727),XHKG,Real Estate Developers,
CRRC Corp. Ltd. (1766),XHKG,Railroads,
Crystal International Group Ltd. (2232),XHKG,Clothing,
CSC Financial Co. Ltd. (6066),XHKG,Investment Advisors,
CSI Properties Ltd. (497),XHKG,Real Estate Developers,
CSMall Group Ltd. (1815),XHKG,Clothing Retail,
CSPC Pharmaceutical Group Ltd. (1093),XHKG,Pharmaceuticals,
CSSC (Hong Kong) Shipping Co. Ltd. (3877),XHKG,General Services,
CSSC Offshore & Marine Engineering (Group) Co. Ltd. (317),XHKG,Water Transport/Shipping,
CST Group Ltd. (985),XHKG,Non-Ferrous Metals,
CStone Pharmaceuticals (2616),XHKG,Pharmaceuticals,
Culturecom Holdings Ltd. (343),XHKG,Publishing,
CWT International Ltd. (521),XHKG,Diversified Holding Companies,
Cybernaut International Holdings Co. Ltd. (1020),XHKG,Internet/Online,
D&G Technology Holding Co. Ltd. (1301),XHKG,Mobile Machinery,
Da Ming International Holdings Ltd. (1090),XHKG,Iron/Steel,
Da Sen Holdings Group Ltd. (1580),XHKG,Forestry & Wood Products,
Da Yu Financial Holdings Ltd. (1073),XHKG,Wholesalers,
DaChan Food (Asia) Ltd. (3999),XHKG,Food Products,
Dadi Education Holdings Ltd. (8417),XHKG,Employment/Training Services,
Dadi International Group Ltd. (8130),XHKG,Diversified Holding Companies,
DaFa Properties Group Ltd. (6111),XHKG,Real Estate Developers,
Dafeng Port Heshun Technology Co. Ltd. (8310),XHKG,Transportation Services,
Dah Sing Banking Group Ltd. (2356),XHKG,Banking,
Dah Sing Financial Holdings Ltd. (440),XHKG,Banking,
Daido Group Ltd. (544),XHKG,Transportation Services,
Daisho Microline Holdings Ltd. (567),XHKG,Semiconductors,
Dali Foods Group Co. Ltd. (3799),XHKG,Food Products,
Dalipal Holdings Ltd. (1921),XHKG,Oil & Gas Products/Services,
Daohe Global Group Ltd. (915),XHKG,Transportation Services,
Daphne International Holdings Ltd. (210),XHKG,Footwear,
Dashan Education Holdings Ltd. (9986),XHKG,Consumer Services,
Datang Environment Industry Group Co. Ltd. (1272),XHKG,Environment/Waste Management,
Datang Group Holdings Ltd. (2117),XHKG,Real Estate Developers,
Datang International Power Generation Co. Ltd. (991),XHKG,Multiutilities,
Datronix Holdings Ltd. (889),XHKG,Industrial Electronics,
Dawnrays Pharmaceutical (Holdings) Ltd. (2348),XHKG,Pharmaceuticals,
DCB Holdings Ltd. (8040),XHKG,Construction,
Denox Environmental & Technology Holdings Ltd. (1452),XHKG,Chemicals,
Design Capital Ltd. (1545),XHKG,Home Goods Retail,
Deson Development International Holdings Ltd. (262),XHKG,Construction,
Desun Real Estate Investment Services Group Co. Ltd. (2270),XHKG,Real Estate Developers,
DeTai New Energy Group Ltd. (559),XHKG,Alcoholic Beverages/Drinks,
Dexin China Holdings Co. Ltd. (2019),XHKG,Real Estate Developers,
Dexin Services Group Ltd. (2215),XHKG,Real Estate Developers,
Deyun Holding Ltd. (1440),XHKG,Clothing,
Dickson Concepts (International) Ltd. (113),XHKG,Clothing Retail,
Differ Group Holding Co. Ltd. (6878),XHKG,Consumer Finance,
Digital China Holdings Ltd. (861),XHKG,Computer Services,
Digital Domain Holdings Ltd. (547),XHKG,Motion Picture/Sound Recording,
Digital Hollywood Interactive Ltd. (2022),XHKG,Toys & Games,
Dingyi Group Investment Ltd. (508),XHKG,Consumer Finance,
DIT Group Ltd. (726),XHKG,Construction,
DL Holdings Group Ltd. (1709),XHKG,Investment Advisors,
DLC Asia Ltd. (8210),XHKG,Securities,
Dongfang Electric Corp. Ltd. (1072),XHKG,Industrial Machinery,
Dongfeng Motor Group Co. Ltd. (489),XHKG,Automobiles,
Dongguan Rural Commercial Bank Co. Ltd. (9889),XHKG,Banking,
Dongguang Chemical Ltd. (1702),XHKG,Coal,
DongJiang Environmental Co. Ltd. (895),XHKG,Environment/Waste Management,
Dongwu Cement International Ltd. (695),XHKG,Building Materials/Products,
Dongyue Group Ltd. (189),XHKG,Chemicals,
Doumob (1917),XHKG,Advertising/Marketing/Public Relations,
Dowway Holdings Ltd. (8403),XHKG,Advertising/Marketing/Public Relations,
Doyen International Holdings Ltd. (668),XHKG,Finance Companies,
Dragon Crown Group Holdings Ltd. (935),XHKG,Transportation Services,
Dragon Mining Ltd. (1712),XHKG,Gold,
Dragon Rise Group Holdings Ltd. (6829),XHKG,Construction,
Dream International Ltd. (1126),XHKG,Toys & Games,
DreamEast Group Ltd. (593),XHKG,Real Estate Developers,
DT Capital Ltd. (356),XHKG,Finance Companies,
DTXS Silk Road Investment Holdings Co. Ltd. (620),XHKG,Water Transport/Shipping,
Duiba Group Ltd. (1753),XHKG,Internet/Online,
Dynagreen Environmental Protection Group Co. Ltd. (1330),XHKG,Environment/Waste Management,
Dynam Japan Holdings Co. Ltd. (6889),XHKG,Gambling Industries,
Dynamic Holdings Ltd. (29),XHKG,Real Estate Developers,
Dynasty Fine Wines Group Ltd. (828),XHKG,Alcoholic Beverages/Drinks,
E Lighting Group Holdings Ltd. (8222),XHKG,Specialty Retail,
E. Bon Holdings Ltd. (599),XHKG,Home Goods Retail,
Eagle Nice (International) Holdings Ltd. (2368),XHKG,Clothing,
Easy Repay Finance & Investment Ltd. (8079),XHKG,Food Retail,
Easyknit International Holdings Ltd. (1218),XHKG,Real Estate Developers,
eBroker Group Ltd. (8036),XHKG,Computer Services,
EC Healthcare (2138),XHKG,Healthcare Provision,
Echo International Holdings Group Ltd. (8218),XHKG,Industrial Electronics,
ECI Technology Holdings Ltd. (8013),XHKG,Precision Products,
EcoGreen International Group Ltd. (2341),XHKG,Chemicals,
E-Commodities Holdings Ltd. (1733),XHKG,Coal,
Eco-Tek Holdings Ltd. (8169),XHKG,Industrial Machinery,
Edensoft Holdings Ltd. (1147),XHKG,Computer Services,
EDICO Holdings Ltd. (8450),XHKG,Printing,
Edvance International Holdings Ltd. (1410),XHKG,Computer Services,
Edvantage Group Holdings Ltd. (382),XHKG,Consumer Services,
EEKA Fashion Holdings Ltd. (3709),XHKG,Clothing,
EFT Solutions Holdings Ltd. (8062),XHKG,Software,
Eggriculture Foods Ltd. (8609),XHKG,Farming,
EGL Holdings Co. Ltd. (6882),XHKG,Tourism,
E-House (China) Enterprise Holdings Ltd. (2048),XHKG,Real Estate Developers,
Elate Holdings Ltd. (76),XHKG,Industrial Electronics,
Elegance Optical International Holdings Ltd. (907),XHKG,Medical Equipment/Supplies,
Elife Holdings Ltd. (223),XHKG,Wholesalers,
ELL Environmental Holdings Ltd. (1395),XHKG,Environment/Waste Management,
Embry Holdings Ltd. (1388),XHKG,Clothing Retail,
Eminence Enterprise Ltd. (616),XHKG,Real Estate Developers,
Emperor Capital Group Ltd. (717),XHKG,Finance Companies,
Emperor Culture Group Ltd. (491),XHKG,Motion Picture/Sound Recording,
Emperor Entertainment Hotel Ltd. (296),XHKG,Gambling Industries,
Emperor International Holdings Ltd. (163),XHKG,Real Estate Developers,
Emperor Watch & Jewellery Ltd. (887),XHKG,Clothing Retail,
Endurance RP Ltd. (575),XHKG,Biotechnology,
Energy International Investments Holdings Ltd. (353),XHKG,Electric Utilities,
ENM Holdings Ltd. (128),XHKG,Clothing Retail,
ENN Energy Holdings Ltd. (2688),XHKG,Gas Utilities,
Enterprise Development Holdings Ltd. (1808),XHKG,Software,
EPI (Holdings) Ltd. (689),XHKG,Oil Extraction,
eprint Group Ltd. (1884),XHKG,Printing,
EPS Creative Health Technology Group Ltd. (3860),XHKG,Clothing,
Ernest Borel Holdings Ltd. (1856),XHKG,Jewelry & Watches,
Esprit Holdings Ltd. (330),XHKG,Clothing Retail,
ESR Cayman Ltd. (1821),XHKG,Real Estate Developers,
Essex Bio-Technology Ltd. (1061),XHKG,Pharmaceuticals,
E-Star Commercial Management Co. Ltd. (6668),XHKG,Real Estate Developers,
eSun Holdings Ltd. (571),XHKG,Motion Picture/Sound Recording,
Eternity Investment Ltd. (764),XHKG,Diversified Holding Companies,
ETS Group Ltd. (8031),XHKG,Diversified Business Services,
EuroEyes International Eye Clinic Ltd. (1846),XHKG,Healthcare Provision,
Ev Dynamics (Holdings) Ltd. (476),XHKG,Automobiles,
EVA Precision Industrial Holdings Ltd. (838),XHKG,Industrial Products,
Ever Harvest Group Holdings Ltd. (1549),XHKG,Water Transport/Shipping,
Ever Reach Group (Holdings) Co. Ltd. (3616),XHKG,Real Estate Developers,
Everbright Grand China Assets Ltd. (3699),XHKG,Real Estate Developers,
Everbright Securities Co. Ltd. (6178),XHKG,Securities,
Everchina International Holdings Co. Ltd. (202),XHKG,Water Utilities,
Everest Medicines Ltd. (1952),XHKG,Biotechnology,
Evergrande Property Services Group Ltd. (6666),XHKG,Real Estate Developers,
Evergreen Products Group Ltd. (1962),XHKG,Personal Care Products/Appliances,
EVOC Intelligent Technology Co. Ltd. (2308),XHKG,Computers/Consumer Electronics,
Excalibur Global Financial Holdings Ltd. (8350),XHKG,Securities,
Excellence Commercial Property & Facilities Management Group Ltd. (6989),XHKG,Real Estate Developers,
Expert Systems Holdings Ltd. (8319),XHKG,Computer Services,
Extrawell Pharmaceutical Holdings Ltd. (858),XHKG,Pharmaceuticals,
F8 Enterprises (Holdings) Group Ltd. (8347),XHKG,Pipeline Transportation,
Fairwood Holdings Ltd. (52),XHKG,Restaurants,
Fantasia Holdings Group Co. Ltd. (1777),XHKG,Real Estate Developers,
Far East Consortium International Ltd. (35),XHKG,Real Estate Developers,
Far East Holdings International Ltd. (36),XHKG,Clothing,
Far East Horizon Ltd. (3360),XHKG,Finance Companies,
Far East Hotels & Entertainment Ltd. (37),XHKG,Hotels,
Farnova Group Holdings Ltd. (8153),XHKG,Advertising/Marketing/Public Relations,
Feishang Anthracite Resources Ltd. (1738),XHKG,Coal,
Feiyang International Holdings Group Ltd. (1901),XHKG,Tourism,
Feiyu Technology International Co. Ltd. (1022),XHKG,Toys & Games,
FIH Mobile Ltd. (2038),XHKG,Networking,
Financial Street Property Co. Ltd. (1502),XHKG,Real Estate Developers,
Fineland Living Services Group Ltd. (9978),XHKG,Real Estate Developers,
Finet Group Ltd. (8317),XHKG,Publishing,
FingerTango Inc. (6860),XHKG,Toys & Games,
Finsoft Financial Investment Holdings Ltd. (8018),XHKG,Software,
Fire Rock Holdings Ltd. (1909),XHKG,Toys & Games,
First Pacific Co. Ltd. (142),XHKG,Food Products,
First Service Holding Ltd. (2107),XHKG,Real Estate Developers,
First Shanghai Investments Ltd. (227),XHKG,Securities,
First Tractor Co. Ltd. (38),XHKG,Mobile Machinery,
FIT Hon Teng Ltd. (6088),XHKG,Industrial Electronics,
Flat Glass Group Co. Ltd. (6865),XHKG,Industrial Products,
Forgame Holdings Ltd. (484),XHKG,Toys & Games,
Fortune Real Estate Investment Trust (778),XHKG,Retail REITs,
Fortune Sun (China) Holdings Ltd. (352),XHKG,Real Estate Developers,
Forward Fashion (International) Holdings Co. Ltd. (2528),XHKG,Clothing Retail,
Fosun International Ltd. (656),XHKG,Diversified Holding Companies,
Fosun Tourism Group (1992),XHKG,Hotels,
Founder Holdings Ltd. (418),XHKG,Software,
Fountain Set (Holdings) Ltd. (420),XHKG,Clothing,
Fourace Industries Group Holdings Ltd. (1455),XHKG,Personal Care Products/Appliances,
Freetech Road Recycling Technology (Holdings) Ltd. (6888),XHKG,Construction,
FriendTimes Inc. (6820),XHKG,Toys & Games,
